[2025-10-29 13:12:35] INFO: System Operation: accounts - add_account | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"add_account","details":{"account_code":"123002","account_name":"Shannon Robinson","parent_id":20,"is_basic":1,"is_stock":1,"is_fund":0,"rentable":0,"secret":0}}
[2025-10-29 13:12:35] INFO: Financial Operation: add_account - Amount: 0 | User: Guest () | IP: ::1 | {"operation_type":"financial","operation":"add_account","amount":0,"account_from":null,"account_to":null,"details":{"account_code":"123002","account_name":"Shannon Robinson","account_type":"stock"}}
[2025-10-29 13:12:35] INFO: System Operation: accounts - account_added | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"account_added","details":{"account_name":"Shannon Robinson","account_code":"123002","account_type":"stock"}}
[2025-10-29 13:13:01] INFO: System Operation: accounts - add_account | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"add_account","details":{"account_code":"Dolorem veniam aut","account_name":"Hiram Douglas","parent_id":20,"is_basic":1,"is_stock":1,"is_fund":1,"rentable":0,"secret":1}}
[2025-10-29 13:13:01] INFO: Financial Operation: add_account - Amount: 0 | User: Guest () | IP: ::1 | {"operation_type":"financial","operation":"add_account","amount":0,"account_from":null,"account_to":null,"details":{"account_code":"Dolorem veniam aut","account_name":"Hiram Douglas","account_type":"fund"}}
[2025-10-29 13:13:01] INFO: System Operation: accounts - account_added | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"account_added","details":{"account_name":"Hiram Douglas","account_code":"Dolorem veniam aut","account_type":"fund"}}
[2025-10-29 13:15:23] INFO: System Operation: accounts - add_account | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"add_account","details":{"account_code":"Incididunt officia v","account_name":"Tyler Sellers","parent_id":35,"is_basic":0,"is_stock":1,"is_fund":0,"rentable":0,"secret":1}}
[2025-10-29 13:15:23] INFO: Financial Operation: add_account - Amount: 0 | User: Guest () | IP: ::1 | {"operation_type":"financial","operation":"add_account","amount":0,"account_from":null,"account_to":null,"details":{"account_code":"Incididunt officia v","account_name":"Tyler Sellers","account_type":"stock"}}
[2025-10-29 13:15:23] INFO: System Operation: accounts - account_added | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"account_added","details":{"account_name":"Tyler Sellers","account_code":"Incididunt officia v","account_type":"stock"}}
[2025-10-29 13:15:46] INFO: System Operation: accounts - add_account | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"add_account","details":{"account_code":"213002","account_name":"\u0645\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646","parent_id":35,"is_basic":1,"is_stock":1,"is_fund":1,"rentable":1,"secret":1}}
[2025-10-29 13:15:46] INFO: Financial Operation: add_account - Amount: 0 | User: Guest () | IP: ::1 | {"operation_type":"financial","operation":"add_account","amount":0,"account_from":null,"account_to":null,"details":{"account_code":"213002","account_name":"\u0645\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646","account_type":"fund"}}
[2025-10-29 13:15:46] INFO: System Operation: accounts - account_added | User: Guest () | IP: ::1 | {"operation_type":"system","component":"accounts","action":"account_added","details":{"account_name":"\u0645\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646\u0646","account_code":"213002","account_type":"fund"}}
